"id","groupId","resourceType","resourceId","archived"
"70467402","42068910","2","15976","0"
"72946249","43527844","2","15976","0"
"72946315","43527866","2","15976","0"
"73847942","44013547","2","15976","0"
"77665445","44642922","2","15976","0"
"77453838","44710891","2","15976","0"
"75135716","44872811","2","15976","0"
"77994731","45217925","2","15976","0"
"77977750","45217944","2","15976","0"
"77994759","45217991","2","15976","0"
"77307574","45757434","2","15976","0"
"77452845","45275690","2","15976","0"
"77666578","45296807","2","15976","0"
"77463904","45422970","2","15976","0"
"77919151","45423161","2","15976","0"
"76502888","45424851","2","15976","0"
"77121835","45429459","2","15976","0"
"77090411","45481669","2","15976","0"
"77553667","45517339","2","15976","0"
"77776965","45527722","2","15976","0"
"77157695","45558182","2","15976","0"
"77105653","45560719","2","15976","0"
"77192804","45567148","2","15976","0"
"77329296","45567844","2","15976","0"
"77178031","45600621","2","15976","0"
"76841721","45603615","2","15976","0"
"77085208","45638683","2","15976","0"
"77184485","45724323","2","15976","0"
"77372092","45734858","2","15976","0"
"76496669","45738534","2","15976","0"
"77085898","45740245","2","15976","0"
"78039251","45741262","2","15976","0"
"76503071","45742407","2","15976","0"
"77458293","45758658","2","15976","0"
"77664395","45770064","2","15976","0"
"77986086","45796548","2","15976","0"
"77804307","45796901","2","15976","0"
"77323243","45801875","2","15976","0"
"76626415","45819405","2","15976","0"
"77437156","45833470","2","15976","0"
"76675119","45846822","2","15976","0"
"76907074","45852293","2","15976","0"
"77859264","45864717","2","15976","0"
"76782264","45908323","2","15976","0"
"77639028","45926880","2","15976","0"
"77615799","45929823","2","15976","0"
"77918808","45930650","2","15976","0"
"77660991","45931834","2","15976","0"
"77611921","45933786","2","15976","0"
"77098242","45938033","2","15976","0"
"76834967","45938376","2","15976","0"
"78064541","45942621","2","15976","0"
"77916482","45948814","2","15976","0"
"77406169","45950425","2","15976","0"
"77462540","45799178","2","15976","0"
"77655863","45967358","2","15976","0"
"77977760","45979427","2","15976","0"
"77411550","45886401","2","15976","0"
"77108047","46004262","2","15976","0"
"77882788","46061008","2","15976","0"
"77126054","46096678","2","15976","0"
"77649671","46100392","2","15976","0"
"78056333","46110689","2","15976","0"
"77775672","46109400","2","15976","0"
"77776881","46124319","2","15976","0"
"77902312","46131701","2","15976","0"
"77607144","46138523","2","15976","0"
"77192363","45012799","2","15976","0"
"77422618","46141547","2","15976","0"
"77146213","46142717","2","15976","0"
"77160322","45806145","2","15976","0"
"77176881","46161098","2","15976","0"
"77185468","46166263","2","15976","0"
"77855989","46220961","2","15976","0"
"77863717","46242321","2","15976","0"
"77868693","46242542","2","15976","0"
"77917147","46256686","2","15976","0"
"77406248","46262061","2","15976","0"
"77777083","46264695","2","15976","0"
"78063776","46265455","2","15976","0"
"77328987","46265874","2","15976","0"
"77461072","46268425","2","15976","0"
"77777019","46318897","2","15976","0"
"77629781","46319740","2","15976","0"
"77427843","46322239","2","15976","0"
"77463413","45485532","2","15976","0"
"77777370","46342370","2","15976","0"
"77637977","46368910","2","15976","0"
"77868186","46382514","2","15976","0"
"77776999","46397891","2","15976","0"
"77605688","46402025","2","15976","0"
"77915129","46405586","2","15976","0"
"77604675","46431767","2","15976","0"
"77658398","46462448","2","15976","0"
"77659815","46463385","2","15976","0"
"77665230","46466378","2","15976","0"
"77868681","46467646","2","15976","0"
"77720382","46497921","2","15976","0"
"77729262","46503104","2","15976","0"
"77740485","46509261","2","15976","0"
"78064153","46511466","2","15976","0"
"77745429","46512340","2","15976","0"
"77753753","46516318","2","15976","0"
"77876696","46577007","2","15976","0"
"77891379","45820428","2","15976","0"
"77916140","46598996","2","15976","0"
"78055401","46636818","2","15976","0"
"77978400","46637086","2","15976","0"
"77978472","46637130","2","15976","0"
"78055534","46637287","2","15976","0"
"77978970","46637424","2","15976","0"
"77982206","46639079","2","15976","0"
"77987748","46641898","2","15976","0"
"77997698","46647189","2","15976","0"
"78002857","45263219","2","15976","0"
"78002933","45879596","2","15976","0"
"78048241","46662994","2","15976","0"
"78025644","46663147","2","15976","0"
"78044371","46674284","2","15976","0"
"78044973","46674620","2","15976","0"
"78060009","46675002","2","15976","0"
"78068632","46686893","2","15976","0"
"78069643","46687552","2","15976","0"
