"id","groupId","workCodeId","visitorId","checklist","archived"
"30449582","44013547","41356","11844569","","0"
"32452939","44642922","49607","6149122","","0"
"32324278","44710891","51807","8388978","","0"
"32626618","45217925","40227","6149716","","0"
"32617386","45217944","40145","6149716","","0"
"32626636","45217991","25398","6149716","","0"
"32240778","45757434","40238","12109939","","0"
"32323686","45275690","51807","11091534","","0"
"32453733","45296807","47512","6145562","","0"
"32330781","45422970","28455","9138568","","0"
"32586508","45423161","40216","6146797","","0"
"31833564","45424851","40489","11238653","","0"
"32148829","45429459","40489","11101408","","0"
"32131026","45481669","40488","7794618","","0"
"32386495","45517339","40235","12012949","","0"
"32515189","45527722","28456","9803441","","0"
"32169896","45558182","28456","6147855","","0"
"32139802","45560719","28456","6145281","","0"
"32192351","45567148","28456","8382660","","0"
"32253021","45567844","38197","12094301","","0"
"32183422","45600621","25587","8159701","","0"
"32023025","45603615","28456","10828060","","0"
"32128045","45638683","43817","6144677","","0"
"32187465","45724323","38198","6145801","","0"
"32278069","45734858","28356","12105957","","0"
"31830069","45738534","40237","10468788","","0"
"32128473","45740245","40216","6142105","","0"
"32650908","45741262","28462","9968646","","0"
"31833664","45742407","40489","9617826","","0"
"32327058","45758658","51805","12108742","","0"
"32452239","45770064","41356","12010760","","0"
"32621608","45796548","28455","10954638","","0"
"32529933","45796901","28455","9466549","","0"
"32249573","45801875","28356","11505336","","0"
"31900148","45819405","47504","11158021","","0"
"32314205","45833470","40228","8582348","","0"
"31928056","45846822","42352","10962816","","0"
"32056758","45852293","40145","6141506","","0"
"32552115","45864717","40145","10203341","","0"
"31989210","45908323","40489","12135014","","0"
"32437140","45926880","47512","6142917","","0"
"32423326","45929823","51807","10890726","","0"
"32586303","45930650","40489","11008947","","0"
"32449811","45931834","51807","12142244","","0"
"32421048","45933786","40489","12139616","","0"
"32135449","45938033","28455","6146147","","0"
"32018824","45938376","28455","10804049","","0"
"32665394","45942621","28456","10657190","","0"
"32584942","45948814","40227","6140918","","0"
"32297960","45950425","33528","6141414","","0"
"32330055","45799178","28464","12104215","","0"
"32446816","45967358","38198","6147342","","0"
"32617390","45979427","28455","10680985","","0"
"32300773","45886401","40489","6147989","","0"
"32141181","46004262","28455","12157235","","0"
"32565414","46061008","28356","6147732","","0"
"32151353","46096678","25945","12161129","","0"
"32443446","46100392","28357","12161464","","0"
"32660761","46110689","47504","11901511","","0"
"32514419","46109400","51807","12162242","","0"
"32515152","46124319","40145","10262417","","0"
"32576186","46131701","28460","6143935","","0"
"32418373","46138523","40488","8262321","","0"
"32192082","45012799","47516","10284547","","0"
"32306712","46141547","47511","6150488","","0"
"32163011","46142717","28455","12165472","","0"
"32171449","45806145","28357","6151068","","0"
"32182744","46161098","49614","9767624","","0"
"32188066","46166263","28456","11375761","","0"
"32550315","46220961","28463","9899615","","0"
"32554565","46242321","40228","6142774","","0"
"32557294","46242542","40489","10219435","","0"
"32585354","46256686","40143","8382901","","0"
"32298004","46262061","40235","12182965","","0"
"32515250","46264695","58596","10145660","","0"
"32664995","46265455","51812","6141028","","0"
"32252840","46265874","28455","9862645","","0"
"32329034","46268425","40489","8015991","","0"
"32515219","46318897","57614","11349657","","0"
"32431609","46319740","47511","6150488","","0"
"32309387","46322239","28456","6146290","","0"
"32330494","45485532","28455","11532791","","0"
"32515380","46342370","51807","6147810","","0"
"32436496","46368910","28461","9024552","","0"
"32557064","46382514","40177","6150684","","0"
"32515206","46397891","58604","12202550","","0"
"32417548","46402025","40217","12185212","","0"
"32583957","46405586","40208","11593004","","0"
"32416939","46431767","38198","12205956","","0"
"32447964","46462448","28463","11679003","","0"
"32448931","46463385","40227","6150978","","0"
"32452790","46466378","40209","9729635","","0"
"32557289","46467646","28465","9928952","","0"
"32483919","46497921","40228","6147321","","0"
"32489134","46503104","28464","10252209","","0"
"32495604","46509261","28357","11190274","","0"
"32665191","46511466","38197","11084043","","0"
"32498430","46512340","28357","12233774","","0"
"32502276","46516318","38197","12104311","","0"
"32561752","46577007","47512","11287408","","0"
"32569491","45820428","28461","12125406","","0"
"32584743","46598996","58600","12262586","","0"
"32660228","46636818","58837","9969132","","0"
"32617753","46637086","40489","12137685","","0"
"32617785","46637130","40488","6141459","","0"
"32660315","46637287","58591","12262987","","0"
"32618015","46637424","25587","12157235","","0"
"32619649","46639079","40150","11595292","","0"
"32622494","46641898","40488","11065479","","0"
"32628262","46647189","40236","12288335","","0"
"32631202","45263219","48380","10520449","","0"
"32631266","45879596","48396","6146483","","0"
"32656017","46662994","57821","10469602","","0"
"32644084","46663147","28461","6142774","","0"
"32653809","46674284","40221","6148889","","0"
"32654164","46674620","38199","6150684","","0"
"32662838","46675002","48396","12290763","","0"
"32666747","46686893","28461","11020254","","0"
"32667308","46687552","49614","9573795","","0"
